first_air_date,genre_ids,id,name,origin_country,original_language,original_name,overview,popularity,vote_average,vote_count
2021-03-13,"[16, 18, 9648, 10766]",120751,Les Mystères de Paris,['FR'],fr,Les Mystères de Paris,,3.83,0.0,0
2021-03-09,"[35, 16]",120404,Ustyrligt,['DK'],da,Ustyrligt,,2.528,0.0,0
2021-03-07,"[16, 10765]",112795,Oshiete Hokusai! The Animation,['JP'],ja,おしえて北斎！-THE ANIMATION-,,2.176,0.0,0
2021-03-06,"[10759, 16, 10762]",120147,210 Good Deeds,['UA'],uk,210 добрих справ,"Series narrate the story of children who are trying to save their parents but to do that they have to return in the past, using the time machine charging it with good deeds energy.",1.722,0.0,0
2021-03-05,"[10762, 16]",119831,City of Ghosts,[],en,City of Ghosts,"Meet the Ghost Club! Their adventures take them all around Los Angeles as they interview ghosts, solve problems and learn about their city's history.",4.778,7.3,3
2021-03-04,"[10765, 16, 10759]",112162,Pacific Rim: The Black,['US'],en,Pacific Rim: The Black,Two siblings - an idealistic teenage boy and his naïve younger sister - are forced to pilot an abandoned Jaeger across a hostile landscape in a desperate attempt to find their missing parents.,83.387,8.4,95
2021-03-04,"[16, 35, 10751]",99588,Kamp Koral: SpongeBob's Under Years,['US'],en,Kamp Koral: SpongeBob's Under Years,"SpongeBob and friends spend the summer catching jellyfish, building camp-fires, and swimming in Lake Yuckymuck at Camp Coral, located in the Kelp Forest.",34.998,7.7,53
2021-03-01,"[16, 35]",120141,Do Contra,['PT'],pt,Do Contra,,2.761,0.0,0
2021-02-28,[16],119819,Kayko and Kokosh,[],pl,Kajko i Kokosz,Two Slavic warriors do everything in their power to defend the village of Mirmiłowo from the evil order of Knaveknights.,2.576,6.0,2
2021-02-28,"[10762, 16]",119787,トロピカル～ジュ!プリキュア,['JP'],ja,トロピカル～ジュ!プリキュア,,1.828,0.0,0
2021-02-25,"[16, 9648, 10759]",112163,High Rise Invasion,['JP'],ja,天空侵犯,"High-school girl Yuri suddenly finds herself on the rooftop of a high-rise building. She's trapped in a bizarre world surrounded by skyscrapers, where a masked man cracked open a man's head with an axe before her eyes. Finding a way to survive this bizarre world, find her beloved brother, and escape becomes her top priority, but she is beset by danger not just from the mysterious Masks, which possess both inhuman strength and cruelty, but other survivors turned cruel or desparate by the insanity of the high-rise world.",71.62,8.2,81
2021-02-25,"[16, 18, 35]",101242,Kiyo in Kyoto: From the Maiko House,['JP'],ja,舞妓さんちのまかないさん,"Kiyo and Sumire came to Kyoto from Aomori Prefecture, dreaming of becoming maiko. But after an unexpected turn of events, Kiyo starts working as the live-in cook at the Maiko House. Their story unfolds in Kagai, the Geiko and maiko district in Kyoto, alongside their housemate maikos. Kiyo nourishes them daily with her homecooked meals, and Sumire strives toward her promising future as the once-in-a-century maiko.",39.004,0.0,0
2021-02-14,"[16, 35]",118405,Demon Slayer Academy Valentine Chapter,['JP'],ja,キメツ学園 バレンタイン編,Valentine's Day special for Kimetsu no Yaiba.,12.591,0.0,0
2021-02-14,"[16, 35, 10765]",95203,Vlad Love,['JP'],ja,ぶらどらぶ,"Mitsugu Bamba is a high school girl who is crazy about donating her blood, to the point that she feels compelled to visit a local blood bank despite the unfriendly nurse. One day, Mitsugu encounters a beautiful girl there who looks like she has come from overseas. The girl is so pale that she appears ready to faint. Instead, she suddenly starts trashing the blood bank. The girl then loses consciousness and so Mitsugu takes her home...",111.207,4.8,4
2021-02-13,"[16, 9648, 10759, 10765]",118465,異能のアイシス,['JP'],ja,異能のアイシス,,1.062,0.0,0
2021-02-08,"[16, 10765, 18]",118354,Thousand Autumns,['CN'],zh,山河剑心,,1.216,0.0,0
2021-02-07,"[16, 35]",117744,Devil May Care,[],en,Devil May Care,"Beans, a Gen Z kid, is sent to a newly gentrified and urban hell, where he works as Devil's social media manager as the two navigate their personal lives while forming an unlikely friendship and making hell the best place to live in the universe.",2.876,9.0,2
2021-02-06,[16],118654,绝顶,['CN'],zh,绝顶,,0.6,0.0,0
2021-02-05,"[16, 35]",120165,D4DJ: Petit Mix,['JP'],ja,ぷっちみく♪ D4DJ Petit Mix,A mini-anime series featuring characters from the D4DJ Groovy Mix mobile game.,1.4,8.0,1
2021-02-05,[16],118651,枕刀歌,['CN'],zh,枕刀歌,,0.784,0.0,0
2021-02-05,"[10759, 16]",110948,The Snoopy Show,['US'],en,The Snoopy Show,"The world’s most iconic dog is ready for his close-up. Dive into new adventures with the happy-dancing, high-flying, big-dreaming beagle, who's joined by best friend Woodstock and rest of the Peanuts gang.",8.33,7.7,56
2021-02-03,"[16, 35]",27223,Rosie,['FR'],en,Rosie,,1.37,0.0,0
2021-02-02,"[16, 10759]",116249,Kid Cosmic,['US'],en,Kid Cosmic,A boy's superhero dreams come true when he finds five powerful cosmic stones. But saving the day is harder than he imagined — and he can't do it alone.,29.964,8.8,21
2021-01-29,"[16, 10759]",117736,The Legend of Hanuman,['IN'],hi,The Legend of Hanuman,"When the power-hungry Ravan tore through the world to unleash evil, in his way stood a humble vaanar awoken to his divinity to become an immortal legend. The series follows Hanuman and his transformation from a mighty warrior to a god and how Hanuman became the beacon of hope amidst the harrowing darkness.",1.28,9.0,2
2021-01-27,[16],118676,Libres !,[],fr,Libres !,,1.205,0.0,0
2021-01-26,[16],117547,哆啦A梦 一生に一度は100点を,['JP'],ja,哆啦A梦 一生に一度は100点を,,0.698,0.0,0
2021-01-26,"[16, 10762]",117162,Go Dog Go,[],en,Go Dog Go,"Handy and inventive pup Tag chases adventure with her best pal, Scooch, solving problems and helping the citizens of Pawston along the way.",1.402,6.5,4
2021-01-24,"[16, 10762]",87358,Hungry Bear Tales,['CZ'],cs,Mlsné medvědí příběhy,,1.287,0.0,0
2021-01-22,"[16, 10762]",118299,喜羊羊与灰太狼之筐出胜利,['CN'],zh,喜羊羊与灰太狼之筐出胜利,,0.84,0.0,0
2021-01-22,[16],117215,长剑风云,['CN'],zh,长剑风云,,0.672,0.0,0
2021-01-22,"[16, 35, 10751]",114505,Pixar Popcorn,['US'],en,Pixar Popcorn,"A collection of mini shorts starring some of your favorite Pixar characters in all-new, bite size stories.",12.056,7.7,67
2021-01-18,"[16, 10762, 10759]",115895,Dino Ranch,"['CA', 'US']",en,Dino Ranch,"Dino Ranch follows the adventures of the Cassidy family as they tackle life in a fantastical ""pre-westoric"" setting where dinosaurs still roam. As the young ranchers learn the ropes, they discover the thrill of ranch life whilst navigating the great outdoors through unpredictable challenges.",0.666,0.0,0
2021-01-16,"[16, 10759, 10762, 10765]",116840,Star Stable: Mistfall,['SE'],en,Star Stable: Mistfall,"Mistfall is the story of a tragic accident, a mysterious island, a magical horse… and an epic adventure. Feel the excitement build as Skye Rowan struggles to understand who she is and comes to fulfill a destiny centuries in the making!",1.968,0.0,0
2021-01-15,"[16, 35, 10759]",114211,Gintama: The Semi-Final,['JP'],ja,銀魂 THE SEMI-FINAL,,2.705,0.0,0
2021-01-13,"[16, 18]",111255,Wonder Egg Priority,['JP'],ja,ワンダーエッグ・プライオリティ,"Ai, a young girl with shut-in tendencies, who tries not to interact with others. She keeps one of her eyes hidden behind her hair. One day, she happens to stop by a deserted arcade, where she meets ""Acca."" Spinning the gacha at their urging, she acquires a ""Wonder Egg,"" and from that moment, her fate begins to change...",54.362,9.3,4
2021-01-13,"[16, 35]",110837,Bungo Stray Dogs Wan!,['JP'],ja,文豪ストレイドッグス わん!,"The peaceful days of the very popular work Bungou Stray Dogs are here. The characters of the Armed Detective Agency and the Mafia are in miniature form?! Due to Atsushi and co. becoming cute, this is a different experience to the original work—a pleasant gag manga!",81.045,0.0,0
