,first_air_date,genre_ids,id,name,origin_country,original_language,original_name,overview,popularity,vote_average,vote_count,year,cleaned_name
2909,2010-04-01,"[10759, 16]",42412,Heroman,['JP'],ja,HEROMAN,"Heroman is a manga and anime produced by Bones and created by Marvel's Stan Lee. The manga is published in Monthly Shōnen Gangan and began serialization in September 2009, while the anime series premiered on April 1, 2010, on TV Tokyo and related stations. Stan Lee came up with the series' basic plot, referring to the series and character as ""a new hero for the 21st century"".

Broadcast of Heroman in the United States is currently being planned by Lee and producer Masahiko Minami.",12.397,0.0,0,2010.0,heroman
2911,2010-03-16,"[16, 35]",67171,Yutori-chan,['JP'],ja,ゆとりちゃん,"The story centres around Yutori-chan, a high school girl assigned to a part-time job in the marketing team of a medium-sized toy company called Popuu. There, she deal with the generation gaps that separate her from Tsumekomi-chan and Dankai-san.",2.846,0.0,0,2010.0,ゆとりちゃん
2914,2010-02-20,"[16, 10759, 18]",45500,Mobile Suit Gundam Unicorn,['JP'],ja,機動戦士ガンダムUC(ユニコーン),"The series begins in U.C. 0001, at the very beginning of human space colonization, when a space colony called Laplace is destroyed during a ceremony hosted by the Federation's Prime Minister ushering in the Universal Century dating system. The main story takes place in UC 0096, sixteen years after the end of the One Year War, three years after the events of Mobile Suit Gundam: Char's Counterattack, and 27 years before Mobile Suit Gundam F91.

The story revolves around Banagher Links, a seemingly normal boy living and going to school in the space colonies. His life changes one day when he meets a girl named Audrey Burne, as the encounter brings him into contact with a new Gundam and its connections to an item called ""Laplace's Box.""",8.663,7.6,8,2010.0,機動戦士ガンダムucユニコーン
2918,2010-02-07,"[16, 10759, 35, 10765]",42981,HeartCatch PreCure!,['JP'],ja,ハートキャッチプリキュア!,The seventh Pretty Cure installment.,17.321,10.0,3,2010.0,ハートキャッチプリキュア
2922,2010-01-25,"[10759, 16, 18]",46374,Katanagatari,['JP'],ja,刀語,"The historical epic centers on Shichika Yasuri, the seventh generational head of the Kyotō-ryū school of martial arts in medieval Japan. He and his older sister Nanami live on an isolated island, until a military advisor named Togame tells him of the final 12 swords forged by a legendary swordsmith. At Togame's bidding, Shichika embarks on a journey to find all 12 of the swords.",10.548,7.6,18,2010.0,刀語
2925,2010-01-23,"[16, 18, 10759]",44316,Night Raid 1931,['JP'],ja,閃光のナイトレイド,"Night Raid 1931, is a Japanese anime television series produced by A-1 Pictures and Aniplex and directed by Jun Matsumoto. The 13-episode anime aired in Japan on the TV Tokyo television network starting April 5, 2010. Senkō no Night Raid is the second project of Anime no Chikara. Sentai Filmworks acquired the series and released it on Blu-ray and DVD in August 2011.",4.074,6.0,1,2010.0,閃光のナイトレイド
2929,2010-01-11,"[16, 35]",42408,Hanamaru Kindergarten,['JP'],ja,はなまる幼稚園,"Anzu, Hiiragi, and Koume are three girls who attend the lively  Hanamaru Kindergarten. There they have lots of adventures with their  classmates and with Naozomi Tsuchida, their teacher who has just started  working fresh out of school.",6.103,6.0,2,2010.0,はなまる幼稚園
2930,2010-01-10,"[10759, 16, 10765]",38112,The Qwaser of Stigmata,['JP'],ja,聖痕のクェイサー,"When Mafuyu Oribe and her adopted sister Tomo rescue a strange wounded man, they have no idea what they’re getting involved with or what the consequences will be. Alexander Nikolaevith Hell is an Iron Qwaser, one of many opposing factions of super-warriors.",28.188,7.7,9,2010.0,聖痕のクェイサー
2932,2010-01-08,"[10759, 16, 18, 9648]",42410,Durarara!!,['JP'],ja,デュラララ!!,"In Tokyo's downtown district of Ikebukuro, amidst many strange rumors and warnings of anonymous gangs and dangerous occupants, one urban legend stands out above the rest—the existence of a headless ""Black Rider"" who is said to be seen driving a jet-black motorcycle through the city streets.

Mikado Ryuugamine has always longed for the excitement of the city life, and an invitation from a childhood friend convinces him to move to Tokyo. Witnessing the Black Rider on his first day in the city, his wishes already seem to have been granted. But as supernatural events begin to occur, ordinary citizens like himself, along with Ikebukuro's most colorful inhabitants, are mixed up in the commotion breaking out in their city.",18.97,7.7,70,2010.0,デュラララ
2933,2010-01-08,[16],35459,Kaitou Reinya,['JP'],ja,怪盗レーニャ,"怪盗レーニャ (Phantom Thief Reinya) appears to be an ordinary girl working at a convenience store but that is nothing but a disguise for her secret identity as Phantom Thief Reinya. Together with her assistant Chūtarō in their secret hideout right below the local convenience store, Reinya hatches plans to steal various treasures made of gold. They face an incompetent trio of a perverted police inspector, a policewoman who is a natural airhead, and a detective totally infatuated with Reinya, all of them in a police station right beside Reinya's convenience store.",0.6,0.0,0,2010.0,怪盗レーニャ
2934,2010-01-07,"[35, 10765, 16]",56343,Baka and Test: Summon the Beasts,['JP'],ja,バカとテストと召喚獣,"Advanced placement into a school of higher grade proof-reading is determined by the results of the Promotion Test strictly for class type. Ranging from A class with the best facilities anyone can offer all the way down to F Class which is composed of low dining tables, rotten tatami mats and other worn out facilities. Students can change classes by competing using the Examination Summons Battle system or ESB. Students summon characters with their equivalent test mark scores and use them to compete with other classes.",18.739,8.3,47,2010.0,バカとテストと召喚獣
2935,2010-01-07,"[16, 10759, 9648]",46342,Okamikakushi: Masque of the Wolf,['JP'],ja,おおかみかくし,"Kuzumi Hiroshi moves with his crippled sister and his father to  the remote city of Jouga, which is famous for its hassaku citrus and the  rumors that a species of enormous wolves once lived in the area. While  some of the residents are more than friendly, when people begin to  vanish suddenly, it becomes apparent that something sinister is afoot...",2.955,8.0,1,2010.0,おおかみかくし
2936,2010-01-07,"[10759, 16, 18, 10765]",37183,Dance in the Vampire Bund,['JP'],ja,ダンスインザヴァンパイアバンド,"Mina Tepeş, the Princess of the ancient covenant and ruler of all vampires, wants her race to stop hiding from the humans. Using her vast wealth, she has paid off Japan's entire national debt and by doing so, gained the right to create a district off Japan's coast that is to become the future haven to vampires worldwide. But when she finally attempts to make public the existence of vampires to the world some politicians, terrorists and rival factions are plotting to assassinate Mina before she has a chance to get Japan's and international recognition for the Vampire Bund. Now she must rely on her strength, cruelty and those closest to her, while trying to make a normal life.",15.01,7.3,15,2010.0,ダンスインザヴァンパイアバンド
2937,2010-01-06,"[10765, 16, 10759, 35, 18]",37555,Omamori Himari,['JP'],ja,おまもりひまり,"The slapstick romantic comedy centers around an ordinary  16-year-old high school boy named Yūto Amakawa who is protected by a  spirit—specifically, a beautiful, sword-wielding cat girl spirit named  Himari. Yūto is descended from a family that has subjugated demons since  time immemorial. The charm that once protected him is now impotent, but  fortunately, at that same moment, Himari appears before him as his new  guardian.",15.598,6.0,2,2010.0,おまもりひまり
2938,2010-01-05,"[16, 35, 10759]",37867,Ladies versus Butlers!,['JP'],ja,れでぃ×ばと！,"Raised by his uncle after his parents’ deaths, Akiharu enrolls at a mostly female academy that specializes in training maids and butlers for high society placements.",11.908,7.5,11,2010.0,れでぃばと
2939,2010-01-05,"[16, 35, 10765]",35461,Sound of the Sky,['JP'],ja,ソ・ラ・ノ・ヲ・ト,"On the outskirts of the country of Helvetia rests the tranquil town of Seize. Upon its cobbled streets, citizens go about their daily lives, undisturbed by the increasingly tense military relations between Helvetia and the neighboring Roman Empire.

It is under these circumstances that the 1121st platoon of the Helvetian army, stationed at the Clocktower Fortress in Seize, receives a new recruit in the young and spirited Kanata Sorami. Having joined the military to fulfill her dream of learning to play the bugle, she excitedly accepts the tutelage of the Sergeant Major, Rio Kazumiya, who happens to be a skilled trumpeter. Working alongside them are the aloof mechanic, Noël Kannagi, the feisty gunner, Kureha Suminoya, and the compassionate Captain Felicia Heideman; together, they experience the beauty of life in Seize and the lasting joy of a community that has persevered in spite of the crumbling world around them.",4.344,7.5,8,2010.0,ソラノヲト
2941,2010-01-04,"[16, 35]",42409,Chu-Bra!!,['JP'],ja,ちゅーぶら!!,"Chū-Bra!! is a Japanese manga series written and illustrated by Japanese manga author Yumi Nakata. The manga was first serialized in the Japanese seinen manga magazine Comic High! on January 22, 2007, and is published by Futabasha. An anime adaptation began airing on January 4, 2010 in Japan. The anime is also being streamed with English subtitles on the Crunchyroll online video service in North America, Australia, New Zealand and the United Kingdom.",6.069,7.8,4,2010.0,ちゅーぶら
2944,2010-01-02,"[10759, 16, 10765]",35460,Cobra the Animation,['JP'],ja,COBRA THE ANIMATION,"Cobra is a well known space pirate, but decides to change his face and to clear all his memories. He becomes a average guy, with a common job, and a very boring life, but suddenly he starts remembering his true identity and new adventures begin.",6.72,9.3,2,2010.0,cobratheanimation
2950,2009-11-27,"[35, 18, 16]",83770,"Hey, Class President!",['JP'],ja,生徒会長に忠告,"High-strung Chiga finds himself questioning the results when his judo team partner, Kokusai, is elected class president of their all-boys school. A president, of course, needs a running mate - and just like that, Kokusai appoints Chiga to be his vice-president! How did a slowpoke like Kokusai win an election, anyway?! It quickly becomes clear that Chiga's major vice-presidential duty will be to keep Kokusai out of harm's way, but is he up to the task?",2.398,5.0,2,2009.0,生徒会長に忠告
2963,2009-10-16,"[16, 35, 18]",42954,Welcome to Irabu's Office,['JP'],ja,空中ブランコ,"Welcome to Irabu's Office, where you may be greeted by a man in a bear mask, holding a giant needle, who’s ready to cure your ills. Get to know the eccentric Dr. Ichirou Irabu who has a fetish for injections, and a rather strange methodology. Despite his weird approach, Dr. Irabu (who changes his appearance more than Madonna), does succeed in helping each of his patients... eventually.",2.966,8.0,2,2009.0,空中ブランコ
2964,2009-10-15,"[10759, 16]",42418,Kiddy GiRL-AND,['JP'],ja,キディ・ガーランド,"Twenty-five years after Éclair and Lumière rescued the galaxy from destruction, the Galactic Trade Organization act on behalf of universal peace by combating criminal activity. Two trainees, Ascoeur and Q-feuille, work their way to membership.",2.603,9.0,2,2009.0,キディガーランド
2965,2009-10-12,"[10759, 16, 35, 10765]",46261,Fairy Tail,['JP'],ja,フェアリーテイル,"Lucy is a 17-year-old girl, who wants to be a full-fledged mage. One day when visiting Harujion Town, she meets Natsu, a young man who gets sick easily by any type of transportation. But Natsu isn't just any ordinary kid, he's a member of one of the world's most infamous mage guilds: Fairy Tail.",23.598,7.7,574,2009.0,フェアリーテイル
2967,2009-10-10,"[16, 18, 9648]",61289,Aoi Bungaku Series,['JP'],ja,青い文学シリーズ,"An animated adaptation of six classical Japanese literature pieces, including No Longer Human (Ningen Shikkaku) and Run, Melos (Hashire, Melos) by Osamu Dazai, Kokoro by Natsume Souseki, Hell Screen (Jigoku Hen) and The Spider's Thread (Kumo no Ito) by Ryunosuke Akutagawa and In the Forest, Under Cherries in Full Bloom (Sakura no Mori no Mankai no Shita) by Ango Sakaguchi.",6.984,6.8,13,2009.0,青い文学シリーズ
2969,2009-10-08,"[16, 18, 35]",42407,Whispered Words,['JP'],ja,ささめきこと,"Murasame Sumika is popular in the high school for her excellence in the marks and sports. However, she has a secret: she is in love with her classmate Kazama Ushio, but she hasn't noticed Sumika's feelings.

On the other hand Ushio also has a liking to the love between girls but she only shows any interest in cutesy girls. Sumika, a card-carrying badass who helps run her family's dojo, does not fit this bill even a little. Cue angst, as she is forced to watch from the sidelines as Ushio falls for girl after girl, none of them her. Ushio is always eager to share news about her latest crush. With the duo's knack for attracting trouble, it looks like Sumika's trials have only just begun.",6.833,5.7,3,2009.0,ささめきこと
2970,2009-10-07,"[16, 18, 35]",68854,Kimi ni Todoke: From Me to You,['JP'],ja,君に届け,"Kuronuma Sawako is completely misunderstood by her classmates. Her timid and sweet demeanor is often mistaken for malicious behavior. This is due to her resemblance to the ghost girl from ""The Ring,"" which has led her peers to give her the nickname Sadako. Longing to make friends and live a normal life, she is naturally drawn to Kazehaya Shouta, the most popular guy in class, whose ""100% refreshing"" personality earns him great admiration from Sawako. So when Kazehaya starts talking to her, maybe there is hope for the friendships Sawako has always longed for. Maybe... there is even a little hope for some romance in her future.",15.843,8.8,159,2009.0,君に届け
2971,2009-10-07,"[10759, 16, 10765]",44310,11eyes,['JP'],ja,イレブンアイズ,"Satsuki Kakeru lost his sister by suicide and has been living a dull life ever since then. One day, he is transported into a bizarre world ""Red Night"" along with his friend Minase Yuka. In order to survive and escape from Red Night, he fights against Dark Spirits (Ralva) and Black Nights.",2.986,7.6,13,2009.0,イレブンアイズ
2972,2009-10-06,"[16, 18, 10765, 35]",46344,Kobato.,['JP'],ja,こばと。,"Kobato is a girl who came to earth to fulfill her wish, which is to go to a certain place. To fulfill that wish, she has to find a bottle and fill it with scarred hearts. Together with her ""teacher"", which is a stuffed animal, she search for the scarred hearts. However she may not fall in love with any person whom she cures the heart of.",4.176,10.0,1,2009.0,こばと
