,name,overview,anilist_genres,origin_country,original_language,original_name,first_air_date,year,total_fans,combined_average_score,tmdb_popularity,tmdb_users,vote_average,anilist_users,anilist_average_score,source_material,is_adult,tmdb_id,anilist_id
975,Fate/stay night [Unlimited Blade Works],"The Holy Grail War is a battle royale among seven magi who serve as Masters. Masters, through the use of the command seals they are given when they enter the war, command Heroic Spirits known as Servants to fight for them in battle. In the Fifth Holy Grail War, Rin Tōsaka is among the magi entering the competition. With her Servant, Archer, she hopes to obtain the ultimate prize—the Holy Grail, a magical artifact capable of granting its wielder any wish.

One of Rin's classmates, Emiya Shirō, accidentally enters the competition and ends up commanding a Servant of his own known as Saber. As they find themselves facing mutual enemies, Rin and Shirō decide to form a temporary alliance as they challenge their opponents in the Holy Grail War.",,['JP'],ja,Fate/stay night [Unlimited Blade Works],2014-10-12,2014,127.0,7.9,31.223,127,7.9,,,,,61415,
976,Ronja the Robber's Daughter,"Ronja is the only daughter of Mattis, a bandit leader who lives in a castle in the middle of a large forest. When Ronja grows old enough, she ventures into the forest to interact the strange and magical creatures that live there. She learns to live in the forest through her own strength, with the occasional rescue from her parents. Ronja's life begins to change, however, when she happens upon a boy her own age named Birk.","['Adventure', 'Fantasy', 'Slice of Life']",['JP'],ja,山賊の娘ローニャ,2014-10-11,2014,5030.0,64.87316103379722,6.746,11,7.0,5019.0,65.0,LIGHT_NOVEL,False,62495,20617.0
977,Your Lie in April,"Kousei Arima was a genius pianist until his mother's sudden death took away his ability to play. Each day was dull for Kousei. But, then he meets a violinist named Kaori Miyazono who has an eccentric playing style. Can the heartfelt sounds of the girl's violin lead the boy to play the piano again?","['Drama', 'Music', 'Romance', 'Slice of Life']",['JP'],ja,四月は君の嘘,2014-10-10,2014,232017.0,84.86799243158906,35.889,403,9.0,231614.0,85.0,MANGA,False,61663,20665.0
978,Shirobako,"It all started in Kaminoyama High School, when five best friends—Aoi Miyamori, Ema Yasuhara, Midori Imai, Shizuka Sakaki, and Misa Toudou—discovered their collective love for all things anime and formed the animation club. After making their first amateur anime together and showcasing it at the culture festival, the group vow to pursue careers in the industry, aiming to one day work together and create their own mainstream show.

Two and a half years later, Aoi and Ema have managed to land jobs at the illustrious Musashino Animation production company. The others, however, are finding it difficult to get their dream jobs. Shizuka is feeling the weight of not being recognized as a capable voice actor, Misa has a secure yet unsatisfying career designing 3D models for a car company, and Midori is a university student intent on pursuing her dream as a story writer. These five girls will learn that the path to success is one with many diversions, but dreams can still be achieved through perseverance and a touch of eccentric creativity.","['Comedy', 'Drama', 'Slice of Life']",['JP'],ja,SHIROBAKO,2014-10-09,2014,59481.0,81.97270388863672,12.24,22,8.2,59459.0,82.0,ORIGINAL,False,64492,20812.0
979,Parasyte -the maxim-,"A species of parasitic aliens descends on Earth and quickly infiltrates humanity by entering the brains of vulnerable targets; insatiable beings that gain total control of their host and are capable of transforming themselves to feed on unsuspecting prey. High school student Shinichi Izumi falls victim to one of these parasites, but the creature fails to take over his brain and ends up in his right hand.","['Action', 'Drama', 'Horror', 'Psychological', 'Sci-Fi']",['JP'],ja,寄生獣 セイの格率,2014-10-09,2014,190493.0,81.76425117983338,67.589,611,8.5,189882.0,82.0,MANGA,False,61459,20623.0
980,A Good Librarian Like a Good Shepherd,"Kyōtarō Kakei has always had an affinity towards books in hopes to find answers to his life. With a mentor's promise, he continues to search for a book with his absolute hope. However, this changes when he receives a foretelling message saying that ""Today, something will happen that will change your fate. --From the Shepherd."" Due to this premonition, his normal school life at Shiomoi Academy becomes entangled due to the optimistic Tsugumi Shirasaki and the Shimoi Happy Project.","['Comedy', 'Romance']",['JP'],ja,大図書館の羊飼い,2014-10-08,2014,16338.0,64.89279593585506,11.324,31,8.5,16307.0,65.0,VISUAL_NOVEL,False,65851,17827.0
981,Trinity Seven,"In this ""romantic comedy but sometime serious magical school story,"" life as Arata Kasuga knows it is wiped out by a bizarre incident known as ""Collapse Phenomenon,"" which causes worldwide destruction and takes his cousin Hijiri Kasuga to the next world. To resolve the ""Collapse Phenomenon"" and bring back Hijiri, Arata enrolls in the Royal Biblia Academy. Waiting in the school are seven beautiful female magic users — the Trinity Seven.","['Action', 'Comedy', 'Ecchi', 'Fantasy', 'Romance']",['JP'],ja,トリニティセブン,2014-10-08,2014,79856.0,67.98403751753156,25.468,21,7.3,79835.0,68.0,MANGA,False,61460,20631.0
982,Amagi Brilliant Park,"A mysterious but pretty transfer student, Sento Isuzu, asks Kanie Seiya out on a date to an amusement park. That park was Amagi Brilliant Park, featuring worn-down attractions and lackluster service -- the worst in Japan.","['Comedy', 'Fantasy']",['JP'],ja,甘城ブリリアントパーク,2014-10-07,2014,76272.0,72.9633548353262,11.128,43,8.0,76229.0,73.0,LIGHT_NOVEL,False,65332,20602.0
983,Yona of the Dawn,"The legend of the Four Dragons and the origin of the land has been passed down for generations in the land of Kouka. Currently, Hiryuu Palace has no one else next in line for the throne other than the fifteen year old princess, Yona, who had been raised with care.

Finally, the night of her sixteenth birthday arrives. She expects it to be a wonderful day spent with her peace-loving father, Il, her servant and friend Hak, and her cousin Soo-won, who she had feelings for... However... That night, Yona goes to visit her father to tell him how she really feels, because he opposes to her getting married to Soo-won. However, when she gets to her room, she encounters a shocking truth. The destinies of Yona and the Four Dragons entwine in this period drama fantasy romance!","['Action', 'Adventure', 'Comedy', 'Fantasy', 'Romance']",['JP'],ja,暁のヨナ,2014-10-07,2014,82417.0,78.86864117839765,19.135,154,8.7,82263.0,79.0,MANGA,False,61461,20770.0
984,When Supernatural Battles Became Commonplace,"A group of five boys and girls suddenly acquire supernatural powers. Ready to fight in galactic battles to defend human cause… they are struck by the realization that there are no wars, no conspiracies, no evils empires, no nothing in their high school life. They instead decide to idly have fun by wasting their powers away.","['Comedy', 'Fantasy', 'Romance', 'Slice of Life', 'Supernatural']",['JP'],ja,異能バトルは日常系のなかで,2014-10-07,2014,50317.0,67.98413657412007,13.389,13,6.6,50304.0,68.0,LIGHT_NOVEL,False,61423,20646.0
